type,condition1,trialNo,target,stim1,stim2,stim3,stim4,stim5,key,ITI,presTime,ISI,presTimeS2,stimFormat,title,content,trialText,button1,feedbackIncorrect,feedbackTime,random,keyboard,subjectGroup
test,possible,9,get an additional job,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,10,make money selling drugs,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,11, earn money from sex,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,12,kill someone for money,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,13,rob banks for money,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,14,steal money from stores,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,15,take money from people,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,16,get a paycheck advance,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,improbable,17,win the money gambling,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,improbable,18,fundraise the needed money,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,19,pawn something he owns,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,20,borrow against his house,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,improbable,21,beg people for money,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,immoral,22,sell his kidney illegally,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,23,donate blood for payment,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,24,donate sperm for cash,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,improbable,25,find money by luck,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,26,participate in research studies,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,27,cash in an investment,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
test,possible,28,get a tax refund,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,na,600,na,na,na,survey,na,na,na,na,na,na,3,na,3
